,course,sentiment,comment
26,CS125,Awesome,hilarious/crazy guy. he dressed up like a pirate and talked like one for a day. got on top of desks and more. Take his class!!
27,CS125,Awesome,So Funny
28,CS125,Awesome,"A fantastic professor--he teaches the introduction to CS for everyone in the department for a reason. He expects a lot from you, but the class never feels hard (although you'll probably do a lot of work for it). Even with no prior programming experience, I aced the class and had a lot of fun."
29,CS125,Awesome,"Angrave is literally the best professor on campus. Always enthusiastic, always knowledgeable, and always looking to help his students. Great man."
30,CS125,Awesome,"If you are thinking about majoring, or even minoring, in CS, you have to take this class with Angrave. Not that you have a choice really, but there's definitely no one better to teach you for this course. :)"
31,CS125,Awesome,One of the best professors ever.
32,CS125,Awesome,"Angrave is fast-praced with high expectations but entirely engaging. There is always help when you need it though. Discussion counts for points (reinforcing worksheets and then a computer-based lab), so go to them. Don't put off your exercises or MPs! I highly recommend having prior programming experience, as most people in the class do."
33,CS125,Awesome,"Angrave tried to interact with the class, keeping class interesting most of the time. The MP's progressively got more difficult, and he expected you to understand everything very quickly. If you needed help, there was always someone to help. Overall he was a good professor. Keep up with class, do practice exams to be prepared for the tests."
34,CS125,Awesome,A legend among professors. Surely the best professor ever.
35,CS125,Awesome,BEST TEACHER ANYONE CAN HAVE. PERIOD.
36,CS125,Awesome,Makes the material not only interesting but fun to understand and gives plenty of help in understanding concepts. Awesome Teacher! Take his class if you have any interest in coding.
37,CS125,Awesome,"Angrave's the best prof I've ever had. If you haven't seen the material before, you're going to have to work your butt off. The grading is fair and there are practice exams, so it is possible to do well if you don't have prior programming experience. However, don't even consider this is you're just looking for an easy Quant 1."
38,CS125,Awesome,not a hard course.just stay with the class and remember to do the practice exams.
39,CS125,Awesome,"Best professor, ever, period."
40,CS125,Awesome,"The man, myth and legend, Lawrence Angrave is the best professor you will ever have in college."
41,CS125,Awesome,"Fantastic professor, very helpful, approachable, and willing to give his time to his students!"
42,CS125,Awesome,I absolutely love and adore him!He is the best professor ever....and is really cute too lol! but besides that fact he makes class sooo much fun that people who even hate computer science would fall in love! take him for sure!
43,CS125,Awesome,One of the best professors I've had!
44,CS125,Awesome,"Pretty good professor. Lectures can be somewhat vague, but there are plenty of office hours and online resources to help out. He's got a good sense of humor, and manages to keep things interesting."
45,CS125,Awesome,awesome class!
46,CS125,Awesome,He is an awesome professor. He makes his class so much fun and has cool jokes and tricks in every one of his classes. Attendance is not mandatory per se but u cannot succeed without attending his lectures which I always look forward to. Probably one of the best professors in the whole university.
47,CS125,Awesome,"OMG! what an amazing professor, enjoy his show!"
48,CS125,Awesome,"Lectures are fun, but at times I have a hard time keeping up with what he's saying, I think it's the australian accent haha. The exams are okay and the MPs get harder throughout the semester, so be careful."
49,CS125,Awesome,"He makes lectures enjoyable and is also very willing to answer questions during or after lectures. Grading is fair. Do all the mps and you'll be fine. Overall, best class to take at U of I!!!I totally enjoy this class. ps; I didn't have any programming experience prior taking this class. It's not that hard as it might sound."
50,CS125,Awesome,I want to give him a hug.
51,CS125,Awesome,Probably the best professor I have ever known. the class is really fun and he has a good sense of humor. There are a lot of extra credit opportunities (I ended up with over a 100% score).
52,CS125,Awesome,"Lawrence Angrave is the best computer science teacher I have ever had. He has a real passion for what he does and I highly recommend taking this course if you are looking for a good cs class to take. Be forewarned, there are weekly MPs (Machineproblems) due each Monday at 8 pm, and they require around 3-8 hours of work, depending on your experience"
53,CS125,Awesome,He was a fantastic lecturer. This class was amazing and truly reccomend it to others. He made me excited to attend class.
54,CS125,Awesome,"Awesome Professor and an awesome lecturer. He's very upbeat which helps keep my attention, very clear, and he's always open for questions in the lecture and before/after the lecture."
55,CS125,Awesome,"if you're having a bad day (or a good day) go to class. angrave is fun, quirky, inspiration, and quite an idealist. lots of talk about true love and zombies. if you sit in the front you will be called out for examples. if you haven't programmed before it will be difficult but if you're willing to put in the time i definitely recommend the class"
56,CS125,Average,not bad
57,CS125,Average,"Very enthusiastic, and helps get you excited about the material. His teaching style is very visual and memorable, so if his explanations click, they really stay with you. But I felt that his explanations tended to lack clarity, and I may have been confused if I didn't know most of the material. But he makes up for it by offering lots of re-grades."
58,CS125,Awesome,I highly recommend Prof. Angrave. He clearly loves what he does and knows a lot about Java. I had not known anything about the subject before taking this class and he made it seem easy and helped a lot. I actually stopped doing the readings halfway through the semester and he lectures were clear enough for me to get an A.
59,CS125,Awesome,"Pretty easy class. Professor was funny when I went, but going to class certainly is not necessary. As long as you do a couple hours of work each week there is no excuse to not get an A."
60,CS125,Awesome,great
61,CS125,Awesome,wheee
62,CS125,Awesome,Unusually humorous and highly understandable - that's a gem for computer science professors!
63,CS125,Awesome,"Not really that good at explaining. If I didn't know anything about CS before taking this class, I would have had a hard time. He spends the whole class joking and teaches very little, yet wants you to go to every lecture as if it's incredibly important."
64,CS125,Awesome,"Very charismatic and excited about the subject, and in that sense he gets you excited as well. He does seem many times to spend more time trying to entertain the students than actually effectively teach matter. A lot of students have to rely on others and the internet a lot of the time to understand topics in the MPs."
65,CS125,Awesome,"One of the most charismatic teachers at the Universitiy. He loves his work, and he'll make you love it too. While it was one of my trickier classes, it was the only class I loved to attend. Lectures are riddled with jokes and demonstrations. The difficult and abstract subject matter is make quite simple. Highly recommend Prof. Angrave."
66,CS125,Awesome,"A charismatic teacher that really knows his stuff. He tries to lighten up lectures by telling corny jokes and letting students to interact with each other. Could be a bit better while explaining concepts, but he has brought many students a long way and is one of the best."
67,CS125,Awesome,Always made himself available and was a lot of fun to listen to during lectures. Truly a great proffessor
68,CS125,Awesome,"He's a great teacher, clearly in love with his work and tries to make the students fall in love with CS as well. Always incredibly interesting and funny (in a cheesy way). And you can't go wrong with that accent! Ow ow!"
69,CS125,Awesome,"Great professor! Very experienced in not only the course material, but it's applications as well(he had two start ups before, one was bought by EA and I forgot about the other). Has great interest in teaching, and good clarity. MPs are neither hard nor easy, but plain fun. Highly recommended."
70,CS125,Awesome,Good professor. I would recommend him
71,CS125,Awesome,This guy is awesome.
72,CS125,Awesome,I loved it when he took the floor. He is so charismatic and can make hard concepts seem simple. He can really get you motivated about computer science and relates all the things you'll learn in his class to upper level courses. He also brings in guest speakers. The projects you do are challenging but practical. He's one of the best.
