Year,Term,Number,Subject,Course Title,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2018,Spring,302,ACCY,Decision Making for Atg,"Shin, Jae Yong",2,1,8,2,4,1,3,0,0,0,1,0,0,0
2018,Spring,303,ACCY,Atg Institutions and Reg,"Godsell, David",7,5,2,4,3,2,2,3,1,0,0,0,1,0
2018,Spring,303,ACCY,Atg Institutions and Reg,"Schwartz, Rachel",5,2,5,2,4,3,2,0,2,0,1,1,0,0
2018,Spring,303,ACCY,Atg Institutions and Reg,"Godsell, David",0,3,4,2,2,3,5,2,1,1,0,0,3,1
2018,Spring,303,ACCY,Atg Institutions and Reg,"Godsell, David",3,9,4,2,4,1,0,1,0,2,0,0,1,1
2018,Spring,303,ACCY,Atg Institutions and Reg,"Schwartz, Rachel",2,8,9,4,3,2,0,0,0,0,1,1,0,0
2018,Spring,303,ACCY,Atg Institutions and Reg,"Schwartz, Rachel",6,7,2,5,3,3,0,1,0,0,0,0,0,0
2018,Spring,304,ACCY,Accounting Control Systems,"Li, Wei",1,1,10,13,5,2,0,0,0,1,0,0,0,1
2018,Spring,304,ACCY,Accounting Control Systems,"Wu, Martin G",4,11,6,7,1,1,3,0,1,0,0,0,0,1
2018,Spring,304,ACCY,Accounting Control Systems,"Wu, Martin G",5,4,10,6,4,3,2,0,1,0,0,0,0,0
2018,Spring,304,ACCY,Accounting Control Systems,"Hayne, Christie",1,8,6,9,7,0,1,0,0,0,0,0,1,0
2018,Spring,304,ACCY,Accounting Control Systems,"Hayne, Christie",0,5,7,7,10,2,1,2,0,0,0,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Hutchens, Michelle L",0,4,4,8,3,0,2,1,0,1,0,0,1,0
2018,Spring,312,ACCY,Principles of Taxation,"Hutchens, Michelle L",0,4,7,7,1,0,2,1,0,0,0,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Holder, Daniel E",0,10,0,0,12,0,0,3,0,0,0,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Hutchens, Michelle L",0,3,6,7,3,2,3,0,0,0,0,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Holder, Charles B",0,14,0,0,7,0,0,3,0,0,1,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Holder, Daniel E",0,14,0,0,9,0,0,2,0,0,0,0,0,0
2018,Spring,312,ACCY,Principles of Taxation,"Holder, Charles B",0,14,0,0,4,0,0,2,1,0,0,0,2,0
2018,Spring,398,ACCY,Practical Problems in Atg,"Nekrasz, Frank",93,6,1,0,0,0,0,2,0,0,0,0,0,0
2018,Spring,405,ACCY,Assurance and Attestation,"Thompson, Anne M",0,2,6,11,5,2,3,0,0,0,0,0,0,0
2018,Spring,405,ACCY,Assurance and Attestation,"Thompson, Anne M",0,5,11,12,2,2,0,1,0,0,0,0,0,0
2018,Spring,405,ACCY,Assurance and Attestation,"Thompson, Anne M",0,4,6,18,1,1,2,2,0,0,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Chen, Ciao-Wei",1,5,3,1,13,3,2,2,1,2,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Urcan, Oktay",6,2,9,5,6,4,3,0,0,0,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Chen, Ciao-Wei",10,5,3,4,9,2,0,1,0,1,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Chen, Ciao-Wei",4,8,5,3,6,1,2,2,1,1,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Kustanovich, Michael",0,3,4,4,5,5,1,0,0,0,2,0,1,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Kustanovich, Michael",4,13,10,2,3,2,0,0,0,0,0,0,0,0
2018,Spring,410,ACCY,Advanced Financial Reporting,"Urcan, Oktay",8,4,4,7,3,5,3,0,0,0,0,0,0,0
2018,Spring,415,ACCY,Auditing Stds and Practice,"Pesch, Heather L",0,9,4,0,7,1,0,0,0,1,0,0,0,0
2018,Spring,415,ACCY,Auditing Stds and Practice,"Pesch, Heather L",0,7,1,0,11,0,0,4,0,1,1,1,0,0
2018,Spring,415,ACCY,Auditing Stds and Practice,"Chatterton, Angel",0,2,2,2,7,2,1,6,2,1,0,1,0,0
2018,Spring,415,ACCY,Auditing Stds and Practice,"Chatterton, Angel",0,2,4,3,10,3,1,1,0,0,0,0,1,0
2018,Spring,415,ACCY,Auditing Stds and Practice,"Pesch, Heather L",0,18,0,0,3,0,0,1,0,0,0,1,0,0
2018,Spring,451,ACCY,Advanced Income Tax Problems,"Hutchens, Matthew",1,8,4,7,9,5,1,1,0,0,0,0,0,0
2018,Spring,451,ACCY,Advanced Income Tax Problems,"Hutchens, Matthew",5,11,9,4,9,2,2,0,0,0,0,0,0,0
2018,Spring,451,ACCY,Advanced Income Tax Problems,"Hutchens, Matthew",1,11,9,4,8,6,4,0,0,1,0,0,0,0
2018,Spring,500,ACCY,"Atg Measuremnt, Rpting and Cntrl","Urcan, Oktay",100,90,99,70,17,0,0,0,0,0,0,0,1,0
2018,Spring,500,ACCY,"Atg Measuremnt, Rpting and Cntrl","Urcan, Oktay",5,15,6,9,8,0,0,0,0,0,0,0,8,0
2018,Spring,502,ACCY,Accounting Analysis II A,"Hepp, John",1,8,7,5,1,0,0,1,0,0,0,0,0,0
2018,Spring,502,ACCY,Accounting Analysis II B,"Hepp, John",0,10,10,2,1,0,0,0,0,0,0,0,0,0
2018,Spring,503,ACCY,Managerial Accounting A,"Hecht, Gary W",0,31,15,6,8,0,0,0,0,0,0,0,0,0
2018,Spring,503,ACCY,Managerial Accounting B,"Hecht, Gary W",0,29,11,7,7,2,1,1,0,0,0,0,0,0
2018,Spring,503,ACCY,Managerial Accounting,"Williamson, Michael",0,15,11,13,2,0,0,0,0,0,0,0,0,0
2018,Spring,506,ACCY,Advanced Topics in Accounting,"Ahmed, Waqar",1,7,0,5,10,6,0,3,0,0,0,0,0,0
2018,Spring,506,ACCY,Advanced Topics in Accounting,"Ahmed, Waqar",4,1,3,4,14,3,0,3,0,0,0,0,0,0
2018,Spring,506,ACCY,Advanced Topics in Accounting,"Ahmed, Waqar",1,0,0,4,10,8,0,5,0,0,1,0,0,0
2018,Spring,510,ACCY,Financial Reporting Standards,"Steward, Cynthia G",7,9,0,3,5,1,1,0,0,0,0,0,0,0
2018,Spring,510,ACCY,Financial Reporting Standards,"Steward, Cynthia G",2,10,0,4,10,0,1,0,0,0,0,0,0,0
2018,Spring,510,ACCY,Financial Reporting Standards,"Hepp, John",2,4,8,4,4,4,0,0,0,0,0,0,0,0
2018,Spring,510,ACCY,Financial Reporting Standards,"Hepp, John",3,3,9,5,3,3,0,0,0,0,0,0,0,0
2018,Spring,511,ACCY,External Risk Measurement/Rept,"Abdel-Khalik, Ahmed R",0,6,13,3,3,0,0,0,0,0,0,0,0,0
2018,Spring,512,ACCY,Internal Risk Measurement/Rept,"Chen, Xiaoling",3,8,6,12,0,1,0,0,0,0,0,0,0,0
2018,Spring,515,ACCY,Auditing and Assurance Standards,"Williams, Devin J",0,5,14,10,4,3,0,0,0,0,0,0,0,0
2018,Spring,515,ACCY,Auditing and Assurance Standards,"Williams, Devin J",0,9,6,7,5,4,1,1,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Ibrahim, Adel Nematallah",0,11,5,4,5,0,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Li, Yue",4,21,0,4,3,0,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Ibrahim, Adel Nematallah",0,17,0,4,4,3,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Li, Yue",2,29,0,7,4,1,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Jackson, Kevin",1,24,9,2,2,0,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Ibrahim, Adel Nematallah",0,12,5,3,4,2,0,0,0,0,0,0,0,0
2018,Spring,517,ACCY,Financial Statement Analysis,"Jackson, Kevin",6,15,8,1,5,0,0,0,0,0,0,0,0,0
2018,Spring,552,ACCY,Partnership Income Taxation,"Sternburg, Thomas",0,8,0,8,10,0,0,0,0,0,0,0,0,0
2018,Spring,552,ACCY,Partnership Income Taxation,"Sternburg, Thomas",0,7,6,4,11,0,0,0,0,0,0,0,0,0
2018,Spring,555,ACCY,Income Tax Accounting,"Lawler, Michael R",1,3,7,2,7,3,0,1,0,0,0,0,0,0
2018,Spring,561,ACCY,Taxes and Business Strategy,"Whitlock, Brian T",0,13,6,2,3,0,0,0,0,0,0,0,0,0
2018,Spring,563,ACCY,Consolidated Returns,"Kalish, Kent J",2,6,6,6,2,2,0,0,0,0,0,0,0,0
2018,Spring,564,ACCY,Reorganizations,"McAlpine, William C",2,3,12,4,2,1,0,0,0,0,0,0,0,0
2018,Spring,570,ACCY,Data Analytics for Acct A,"Brunner, Robert J",1,9,6,2,2,2,1,0,0,0,0,0,1,0
2018,Spring,570,ACCY,Data Analytics for Acct B,"Brunner, Robert J",0,16,2,1,1,1,1,0,0,0,0,0,0,0
2018,Spring,575,ACCY,Data Analytics Apps in ACCY,"Anand, Vikrant V",0,14,7,2,0,0,0,0,0,0,0,0,0,0
2018,Spring,575,ACCY,Data Analytics Apps in ACCY,"Hobson, Jessen L",1,8,12,1,0,0,0,0,0,0,0,0,0,0
2018,Spring,575,ACCY,Data Analytics Apps in ACCY,"Hobson, Jessen L",0,8,12,2,1,0,0,0,0,0,0,0,0,0
2018,Spring,100,ACE,Agr Cons and Resource Econ,"Gundersen, Lisa C",2,1,4,1,2,3,1,2,3,0,2,0,1,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,20,0,0,4,0,0,2,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Parthum, Bryan M",0,18,0,2,3,0,0,0,0,0,1,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,23,0,0,3,0,0,0,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,14,0,0,8,0,0,2,0,0,0,0,0,1
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,15,0,0,8,0,0,4,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,21,0,0,4,0,0,2,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,23,0,0,4,0,0,0,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,24,0,0,0,0,0,1,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,35,0,0,9,0,0,1,0,0,2,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Lo, Alexander C",0,24,0,0,3,0,0,0,0,0,0,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,35,0,0,9,0,0,1,0,0,1,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,22,0,0,3,0,0,0,0,0,1,0,0,0
2018,Spring,161,ACE,Microcomputer Applications,"Rogalla, Valerie",0,20,0,0,4,0,0,0,0,0,0,0,1,0
2018,Spring,161,ACE,Microcomputer Applications,"Parthum, Bryan M",0,22,0,1,3,0,0,0,0,1,0,0,0,0
2018,Spring,210,ACE,Environmental Economics,"Ando, Amy W",21,37,10,14,11,3,0,3,0,0,0,0,1,0
2018,Spring,231,ACE,Food and Agribusiness Mgt,"Stoddard, Paul B",9,44,48,35,19,13,2,2,2,2,1,0,3,0
2018,Spring,232,ACE,Management of Farm Enterprises,"Stoddard, Paul B",6,15,19,9,7,9,4,5,1,0,1,0,1,0
2018,Spring,240,ACE,Personal Financial Planning,"Lemoine, Craig",83,106,1,0,19,0,0,10,0,0,0,0,1,1
2018,Spring,251,ACE,The World Food Economy,"Gundersen, Craig",0,18,3,13,13,7,6,4,3,1,0,0,0,0
2018,Spring,254,ACE,Economic Systems in Africa,"Allen-Smith, Joyce E",0,5,0,2,6,2,0,5,1,1,3,0,1,1
2018,Spring,261,ACE,Applied Statistical Methods,"Serra Devesa, Maria Teres",11,16,4,8,3,4,1,2,0,0,0,0,0,1
2018,Spring,270,ACE,Consumer Economics,"Gundersen, Craig",0,8,8,6,14,7,6,5,4,0,0,0,2,0
2018,Spring,310,ACE,Natural Resource Economics,"Brazee, Richard J",5,19,13,6,14,6,7,1,2,0,0,0,0,1
2018,Spring,335,ACE,Food Marketing and Behavior,"Ellison, Brenna",1,11,3,2,3,3,0,2,0,1,0,0,0,0
2018,Spring,360,ACE,Spreadsheet Models and Applic,"Doehring, Todd A",11,8,9,9,3,2,3,0,1,0,1,0,1,0
2018,Spring,360,ACE,Spreadsheet Models and Applic,"Doehring, Todd A",11,11,13,8,5,5,1,2,0,0,0,0,0,0
2018,Spring,403,ACE,Agricultural Law,"Coppess, Jonathan",0,2,10,11,5,1,1,0,1,0,0,0,0,0
2018,Spring,427,ACE,Commodity Price Analysis,"Irwin, Scott H",4,5,9,8,8,8,6,2,4,3,0,0,0,0
2018,Spring,428,ACE,Commodity Futures and Options,"Yan, Lei",2,5,5,6,4,1,3,2,0,0,0,0,0,0
2018,Spring,431,ACE,Agri-food Strategic Management,"Ellison, Brenna",0,11,8,2,7,7,3,2,2,0,0,0,0,0
2018,Spring,435,ACE,Global Agribusiness Management,"Schnitkey, Gary D",4,15,14,11,18,4,0,4,0,0,0,0,0,0
2018,Spring,440,ACE,Finan Plan for Professionals,"Allen, Sharon C",0,1,5,1,9,4,1,1,2,0,0,0,0,0
2018,Spring,444,ACE,Finan Serv and Invest Plan,"Sherrick, Bruce J",3,9,4,2,1,0,0,3,3,1,2,0,0,0
2018,Spring,446,ACE,Modeling App's Finan Plan,"Sherrick, Bruce J",4,22,0,1,4,3,5,7,1,0,3,0,2,1
2018,Spring,448,ACE,Rural Real Estate Appraisal,"Moss, LeeAnn E",7,5,0,6,6,3,1,4,0,0,0,0,0,0
2018,Spring,449,ACE,Retirement and Benefit Planning,"Xu, Yilan",1,15,11,5,13,2,1,2,0,1,2,1,0,1
2018,Spring,456,ACE,Agr and Food Policies,"Gramig, Benjamin",8,2,2,4,13,4,2,0,1,0,0,0,1,0
2018,Spring,474,ACE,Econ of Consumption,"Lyons, Angela C",0,4,2,3,5,5,3,3,5,0,1,1,1,0
2018,Spring,476,ACE,Family Economics,"Lyons, Angela C",0,8,7,9,6,3,0,8,2,0,0,1,1,0
2018,Spring,150,ADV,Introduction to Advertising,"Hall, Steven R",52,73,5,5,26,6,4,8,0,0,5,0,5,1
2018,Spring,281,ADV,Advertising Research Methods,"Ryu, Sann H",2,5,0,6,9,0,5,0,0,2,0,1,0,0
2018,Spring,281,ADV,Advertising Research Methods,"Vargas, Patrick T",0,23,4,2,52,1,1,14,1,0,0,0,0,0
2018,Spring,283,ADV,Advertising and Brand Strategy,"Mabry-Flynn, Amanda D",0,34,14,5,0,1,0,0,0,0,0,0,0,0
2018,Spring,283,ADV,Advertising and Brand Strategy,"Mabry-Flynn, Amanda D",0,27,16,7,2,3,0,0,0,0,0,0,0,0
2018,Spring,284,ADV,Consumer Insight,"Ahn, Regina",7,15,27,2,2,2,0,0,0,0,0,0,0,0
2018,Spring,284,ADV,Consumer Insight,"Yao, Jiachen",0,10,18,12,5,2,1,1,0,0,0,1,0,0
2018,Spring,290,ADV,Sports PR,"Raquel, Steve A",7,12,12,2,2,1,0,0,0,0,0,0,0,0
2018,Spring,305,ADV,Digital ADV Content,"Yao, Mike Z",1,32,2,1,8,1,2,1,1,0,0,0,0,0
2018,Spring,310,ADV,Intro to Public Relations,"Wirtz, John",3,24,20,7,34,12,2,11,3,0,2,0,1,0
2018,Spring,311,ADV,Classic Campaigns,"Chambers, Jason P",0,12,14,12,11,1,0,0,0,0,1,0,0,0
2018,Spring,312,ADV,Advertising History,"Chambers, Jason P",0,0,1,8,6,6,2,3,0,0,1,1,0,0
2018,Spring,390,ADV,Content Creation,"Sheldon, Peter S",0,13,12,14,22,12,4,5,3,1,0,1,1,1
2018,Spring,393,ADV,Advertising and Society,"Nelson, Michelle R",0,33,21,5,3,1,1,2,1,0,0,0,0,0
2018,Spring,410,ADV,Public Relations Strategies,"Oh, Sanghwa",0,16,8,6,4,1,0,0,0,0,0,0,0,0
2018,Spring,410,ADV,Public Relations Strategies,"Oh, Sanghwa",0,6,11,7,6,1,1,1,0,1,0,0,0,0
2018,Spring,460,ADV,Innovation in Advertising,"Ham, Chang Dae",0,30,8,7,4,3,0,2,1,0,0,0,0,0
2018,Spring,460,ADV,Innovation in Advertising,"Ham, Chang Dae",0,19,5,12,7,10,3,2,1,0,0,0,0,1
2018,Spring,483,ADV,Audience Analysis,"Taneja, Harsh",2,7,23,16,5,0,0,0,0,0,0,0,0,0
2018,Spring,483,ADV,Audience Analysis,"Taneja, Harsh",5,2,28,14,3,0,0,0,0,0,0,0,0,0
2018,Spring,492,ADV,Tech and Advertising Campaigns,"Yao, Mike Z",2,29,1,2,0,0,0,0,0,0,0,0,0,0
2018,Spring,498,ADV,The Sandage Project,"Meron, Shachar",0,25,1,0,1,0,0,0,0,0,0,0,0,0
2018,Spring,199,AE,Computer-Aided Design,"Laystrom-Woodar, Julia K",0,14,5,5,3,0,0,1,1,0,1,0,1,0
2018,Spring,199,AE,Computer-Aided Design,"Laystrom-Woodar, Julia K",1,16,8,3,0,4,1,1,0,0,0,0,0,0
2018,Spring,202,AE,Aerospace Flight Mechanics,"Langbort, Cedric",4,10,21,13,9,6,0,3,2,0,2,0,2,0
2018,Spring,311,AE,Incompressible Flow,"Dutton, J C",1,11,1,2,14,0,0,7,0,0,2,0,4,0
2018,Spring,312,AE,Compressible Flow,"Woodard, Brian S",2,16,9,16,23,11,4,9,5,2,1,1,0,0
2018,Spring,321,AE,Mechs of Aerospace Structures,"Lambros, John",1,8,4,5,3,1,3,3,2,1,2,3,9,0
2018,Spring,323,AE,Applied Aerospace Structures,"Geubelle, Philippe H",6,7,8,9,13,9,10,12,8,2,4,0,2,0
2018,Spring,352,AE,Aerospace Dynamical Systems,"Lingala, Nishanth",5,9,10,12,15,10,1,1,2,3,0,2,0,0
2018,Spring,353,AE,Aerospace Control Systems,"Hanley, David J",9,19,12,6,5,3,3,0,1,1,2,0,3,1
2018,Spring,370,AE,Aerospace Numerical Methods,"Chew, Huck Beng",3,24,7,15,24,13,4,6,4,0,4,0,1,0
2018,Spring,403,AE,Spacecraft Attitude Control,"Ho, Koki",9,8,10,6,0,3,0,0,0,0,0,0,0,0
2018,Spring,410,AE,Computational Aerodynamics,"Bodony, Daniel J",8,16,2,1,5,0,0,3,1,0,0,1,0,0
2018,Spring,419,AE,Aircraft Flight Mechanics,"Ansell, Phillip J",0,13,13,6,8,4,1,1,1,0,0,0,0,0
2018,Spring,434,AE,Rocket Propulsion,"Levin Fliflet, Deborah",0,7,1,10,5,2,0,2,1,0,0,0,0,0
2018,Spring,435,AE,Electric Propulsion,"Rovey, Joshua L",0,6,4,2,7,4,3,1,0,0,3,0,0,0
2018,Spring,443,AE,Aerospace Systems Design II,"Tran, Huy T",6,9,28,10,7,2,0,0,0,0,0,0,0,0
2018,Spring,443,AE,Aerospace Systems Design II,"Putnam, Zachary R",3,27,7,6,4,4,1,0,0,0,0,0,0,0
2018,Spring,461,AE,Structures and Control Lab,"Chasiotis, Ioannis",7,26,46,22,14,0,2,0,1,0,0,0,0,0
2018,Spring,498,AE,Uninhabited Aerial Vehicle,"Elliott, Gregory S",0,11,10,1,0,0,0,0,0,0,0,0,0,0
2018,Spring,100,AFRO,Intro to African American St,"Bailey, Ronald W",5,4,9,4,5,2,1,1,0,0,0,0,1,1
2018,Spring,100,AFRO,Intro to African American St,"Bailey, Ronald W",1,5,8,2,5,0,1,5,0,0,0,0,3,1
2018,Spring,132,AFRO,African American Music,"Meyers, John P",0,11,6,4,1,3,1,1,0,0,0,0,1,0
2018,Spring,231,AFRO,Lang Diff Dis: American Persp,"Proctor, Frances A",7,55,0,0,5,0,0,0,0,0,0,0,1,0
2018,Spring,315,AGCM,Emerging Media,"Cupps-Miller, Heather A",0,13,3,0,3,1,0,0,0,0,0,0,2,0
2018,Spring,260,AGED,Intro to Leadership Studies,"Burgoon, Lisa A",37,47,18,15,9,7,9,6,3,0,1,1,2,2
2018,Spring,380,AGED,Leadership in Groups and Teams,"Rosch, David M",9,13,17,10,9,2,3,1,0,0,0,0,0,0
2018,Spring,480,AGED,Collaborative Leadership,"Macke, Tiffany B",7,21,3,0,1,0,0,0,0,0,0,0,0,0
2018,Spring,480,AGED,Collaborative Leadership,"Keating, Kari H",3,18,6,3,1,0,0,0,0,0,0,0,0,1
2018,Spring,480,AGED,Collaborative Leadership,"Macke, Tiffany B",4,16,1,2,1,0,0,0,0,0,0,0,0,0
2018,Spring,494,AHS,Accessible Electronic Material,"Offenstein, Timothy L",1,14,5,2,1,1,0,0,0,0,0,0,0,0
2018,Spring,494,AHS,Design Accessible Web Res,"Offenstein, Timothy L",0,20,4,1,0,1,0,0,0,0,0,0,0,0
2018,Spring,101,AIS,Intro to Amer Indian Studies,"Cottrell, Courtney",0,14,7,2,4,2,0,1,0,0,0,0,0,0
2018,Spring,285,AIS,Indigenous Thinkers,"Maldonado, Korinta",12,1,3,0,2,0,0,1,1,0,2,2,0,0
2018,Spring,100,ANSC,Intro to Animal Sciences,"Parrett, Douglas F",4,9,0,1,5,0,1,1,0,0,1,0,1,0
